Date	ATRCT	AVBLS	ETRAV	NADDU	NTRAN	NTRBL	NTREP	TOUTV	TRFEE	Volume_BTC	Volume_Currency	Weighted_Price	JPY_Rate	GBP_Rate	CHF_Rate	EUR_Rate	CNY_Rate	CAD_Rate	SEK_Rate	Dollar_Index
2013-06-18	8.9	0.140300979353	145327	48967	47025	230	23077	600799.737558	36.99237474	7535.07	795013.63	105.51	0.0105323691300474	1.56812073275146	1.08433525911275	1.33594465982841	0.16229103001248	0.981749280868652	0.154753964409683	1
2013-06-19	12.1	0.163297370911	139177	55778	46903	286	25385	639946.24255	36.13715542	4194.68	441639.46	105.29	0.0104969794941506	1.56400290904541	1.08559245122433	1.33780338036158	0.162093732321652	0.979422336705811	0.155248164190458	1
2013-06-20	10.6666666667	0.148688838906	148692	54530	49440	308	26140	664640.982155	62.60148592	4290	457652.12	106.68	0.0103461083630698	1.55221415588266	1.07931217593652	1.32937710706271	0.161807846709718	0.972006220839813	0.154310747897902	1
2013-06-21	9.43333333333	0.14012800338	183150	58295	52994	241	26165	808002.230281	55.51629176	6567.77	691123.61	105.23	0.0102590828790269	1.54670189022438	1.07567016940729	1.32110692907373	0.161635492568	0.963502524376614	0.15218661731762	1
2013-06-22	7.95	0.111183754233	106742	49708	42571	281	21857	453784.512603	45.58428107	5039.37	518596.58	102.91	NA	NA	NA	NA	NA	NA	NA	NA
2013-06-23	8.71666666667	0.099417144602	103164	41462	40634	287	18203	363194.718085	40.63780671	4275.8	430283.8	100.63	NA	NA	NA	NA	NA	NA	NA	NA
2013-06-24	10.0833333333	0.126782844117	156809	48326	40963	242	21748	519400.881322	37.82404209	6802.55	661492.19	97.24	0.0102204761106591	1.54191542902255	1.07159543414617	1.31360991828033	0.161432226715419	0.955383586509984	0.149616159742181	1
2013-06-25	7.91666666667	0.132571858329	145328	50770	45588	201	24782	729778.864356	36.22112769	5076.46	501296.99	98.75	0.0102282432480809	1.54197011353526	1.07159543414617	1.31088572615859	0.16136944566368	0.952145183097519	0.148619768212609	1
2013-06-26	7.25	0.103714584674	157625	54518	45576	222	26087	647186.410645	38.21914872	1075.49	105280.07	97.89	0.0102381495977943	1.54009641003527	1.0657220106764	1.30709385979588	0.161405910038802	0.952934561983629	0.148720114692952	1
2013-06-27	8.61666666667	0.125443223011	139122	51936	46797	275	24892	595242.990964	33.13590698	2002.85	194382.08	97.05	0.0102122931500022	1.53233925378143	1.06094942241913	1.30343089079074	0.161468198031057	0.955173698337043	0.148609166807845	1
2013-06-28	7.61666666667	0.126948651813	170203	53524	48324	202	26147	582637.004606	47.29444705	6385.67	584553.99	91.54	0.0101414324164802	1.52567171511437	1.05879600071575	1.30363139561563	0.161642024340056	0.95428953144384	0.14863611500868	1
2013-06-29	8.61666666667	0.110869348419	135258	55499	38973	203	23586	599896.387348	25.79585074	3270.26	294639.01	90.1	NA	NA	NA	NA	NA	NA	NA	NA
2013-06-30	8.93333333333	0.0887400348012	104101	41271	32994	205	19434	421917.862971	19.88041027	2627.34	237858.12	90.53	NA	NA	NA	NA	NA	NA	NA	NA
2013-07-01	7.8	0.0984449261933	213572	49206	34053	196	24137	702652.262859	31.95531521	12047.91	1028814.36	85.39	0.0100695402449315	1.52250336092617	1.05788537177266	1.30369427847692	0.161779313602728	0.952027342225269	0.149315017357871	1
