Date	USD_Scaled_Price	ATRCT	AVBLS	ETRAV	NADDU	NTRAN	NTRBL	NTREP	TOUTV	JPY_Rate	GBP_Rate	CHF_Rate	EUR_Rate	CNY_Rate	CAD_Rate	SEK_Rate
2009-01-15	NA	-1.07828703976404	-0.793099207419182	-0.532724490394208	-0.772675810573412	-0.850147134324326	-0.832363807728092	-0.735625609102309	-0.459253300715138	NA	NA	NA	NA	NA	NA	NA
2009-01-16	NA	-1.07828703976404	-0.793226734299241	-0.533824933126127	-0.772866820991586	-0.850534039633267	-0.832363807728092	-0.73602612978229	-0.459696213343297	NA	NA	NA	NA	NA	NA	NA
2009-01-17	NA	-1.07828703976404	-0.793227116356286	-0.533824933126127	-0.772947246430817	-0.850696947131768	-0.832363807728092	-0.736194770068597	-0.459871450782727	NA	NA	NA	NA	NA	NA	NA
2009-01-18	NA	-1.07828703976404	-0.793239522876368	-0.534175392594891	-0.773027671870048	-0.85085985463027	-0.832363807728092	-0.736363410354905	-0.460068592902086	NA	NA	NA	NA	NA	NA	NA
2009-01-19	NA	-1.07828703976404	-0.793219919659582	-0.533649703391745	-0.772836661451874	-0.850472949321329	-0.832363807728092	-0.735962889674924	-0.459608594623582	NA	NA	NA	NA	NA	NA	NA
2009-01-20	NA	-1.07828703976404	-0.79314805486141	-0.53145933171197	-0.772856767811682	-0.850513676195954	-0.832363807728092	-0.736005049746501	-0.459400500164259	NA	NA	NA	NA	NA	NA	NA
2009-01-21	NA	-1.07828703976404	-0.79317648732821	-0.532423095251071	-0.772886927351393	-0.850574766507892	-0.832363807728092	-0.736068289853867	-0.459586689943654	NA	NA	NA	NA	NA	NA	NA
2009-01-22	NA	-1.07828703976404	-0.793155128821196	-0.532423095251071	-0.773279001367645	-0.851368940563086	-0.832363807728092	-0.736890411249616	-0.460419067780945	NA	NA	NA	NA	NA	NA	NA
2009-01-23	NA	-1.07828703976404	-0.793206943718573	-0.533649703391745	-0.773359426806876	-0.851531848061588	-0.832363807728092	-0.737059051535923	-0.460747637979876	NA	NA	NA	NA	NA	NA	NA
2009-01-24	NA	-1.07828703976404	-0.793186393185956	-0.531371716844779	-0.772022353879659	-0.848823510899003	-0.832363807728092	-0.734255406776061	-0.457571459390211	NA	NA	NA	NA	NA	NA	NA
2009-01-25	NA	-1.07828703976404	-0.793233982730553	-0.534000162860509	-0.772082672959082	-0.848945691522879	-0.832363807728092	-0.734381886990791	-0.458009552988786	NA	NA	NA	NA	NA	NA	NA
2009-01-26	NA	-1.07828703976404	-0.793240050723766	-0.534175392594891	-0.772876874171489	-0.85055440307058	-0.832363807728092	-0.736047209818078	-0.459740022703155	NA	NA	NA	NA	NA	NA	NA
2009-01-27	NA	-1.07828703976404	-0.793094985367998	-0.530145108704105	-0.772987459150432	-0.850778400881019	-0.832363807728092	-0.736279090211751	-0.459520975903867	NA	NA	NA	NA	NA	NA	NA
2009-01-28	NA	-1.07828703976404	-0.79324046817082	-0.534175392594891	-0.77300756551024	-0.850819127755644	-0.832363807728092	-0.736321250283328	-0.460024783542228	NA	NA	NA	NA	NA	NA	NA
