Date	USD_Price_BTC
8-9-14	587.55
8-10-14	588.87
8-11-14	576.08
8-12-14	568.81
8-13-14	545.28
8-14-14	506.07
8-15-14	496.65
8-16-14	503.88
8-17-14	502.09
8-18-14	468.58
8-19-14	476.21
8-20-14	497.27
8-21-14	522.94
8-22-14	512.54
8-23-14	501.41
8-24-14	507.9
8-25-14	502.67
8-26-14	507.61
8-27-14	514.74
8-28-14	508.87
8-29-14	506.47
8-30-14	499.88
8-31-14	484.29
9-1-14	478.2
9-2-14	474.98
9-3-14	476.28
9-4-14	488.41
9-5-14	485.31
9-6-14	484.02
9-7-14	483.42
9-8-14	472.33
9-9-14	470.12
9-10-14	481.45
9-11-14	476.74
9-12-14	472.57
9-13-14	477.23
9-14-14	478.86
9-15-14	477.77
9-16-14	469.22
9-17-14	457.3
9-18-14	430.11
9-19-14	399.16
9-20-14	410.07
9-21-14	402.36
9-22-14	403.63
9-23-14	426.76
9-24-14	429.14
9-25-14	413.57
9-26-14	404.43
9-27-14	400.81
9-28-14	384.14
9-29-14	377.71
9-30-14	384.75
10-1-14	383.79
10-2-14	375.08
10-3-14	365.09
10-4-14	339.7
10-5-14	308.12
10-6-14	327.23
10-7-14	329.85
10-8-14	342.13
10-9-14	366.77
10-10-14	362.23
10-11-14	359.51
10-12-14	368.41
10-13-14	383.96
10-14-14	403.11
10-15-14	392.38
10-16-14	382.29
10-17-14	379.38
10-18-14	388.01
10-19-14	389.2
10-20-14	379.11
10-21-14	386.85
10-22-14	381.02
10-23-14	365.94
10-24-14	356.3
10-25-14	346.49
10-26-14	350.03
10-27-14	352.02
10-28-14	352.54
10-29-14	341.04
10-30-14	341.04
10-31-14	340.16
11-1-14	325.38
11-2-14	323.2
11-3-14	328.6
11-4-14	326.3
11-5-14	337.54
11-6-14	346.48
11-7-14	345.53
11-8-14	344.58
11-9-14	352.78
11-10-14	366.65
11-11-14	365.39
11-12-14	406.51
11-13-14	429.28
11-14-14	399.99
11-15-14	384.95
11-16-14	386.39
11-17-14	394.6
11-18-14	378.27
11-19-14	377.5
11-20-14	361.73
11-21-14	349.68
11-22-14	357.51
11-23-14	363.31
11-24-14	378.32
11-25-14	384.97
11-26-14	371.69
11-27-14	371.41
11-28-14	370.23
11-29-14	380.6
11-30-14	379.69
12-1-14	381.68
12-2-14	383.96
12-3-14	379.24
12-4-14	373.17
12-5-14	374.55
12-6-14	375.98
12-7-14	377.12
12-8-14	368.49
12-9-14	351.13
12-10-14	348.98
12-11-14	351.25
12-12-14	351.44
12-13-14	347.34
12-14-14	351.63
12-15-14	349.13
12-16-14	335.1
12-17-14	321.74
12-18-14	311.85
12-19-14	312.63
12-20-14	324.15
12-21-14	323.31
12-22-14	330.75
12-23-14	333.73
12-24-14	326.49
12-25-14	319.15
12-26-14	325.8
12-27-14	318.24
12-28-14	315.71
